id,x,y,n_pix_anillo,q1,mediana_cielo,q3,iqr,limite_superior_boxplot,n_outliers_altos,frac_outliers_altos,p95,maximo,contaminada
50,312.403,173.542,690,37.188528060913086,42.195730209350586,48.2149772644043,11.026449203491211,64.75465106964111,23,0.03333333333333333,59.922716712951654,103.4043197631836,True
51,251.555,175.652,1263,37.03899002075195,41.98807907104492,47.065025329589844,10.02603530883789,62.10407829284668,14,0.011084718923198733,55.11940917968749,75.39551544189453,False
52,194.654,177.409,1260,39.3472375869751,44.94636917114258,53.35323429107666,14.005996704101562,74.362229347229,135,0.10714285714285714,160.530024719238,7715.96826171875,True
53,42.034,180.557,1254,36.45402526855469,41.44054985046387,46.67467498779297,10.220649719238281,62.00564956665039,6,0.004784688995215311,53.77981491088867,68.23450469970703,False
54,183.667,183.22,1253,38.757835388183594,43.67755889892578,49.84727096557617,11.089435577392578,66.48142433166504,35,0.027932960893854747,61.776477050781246,126.22089385986328,False
55,298.303,181.274,1060,38.588799476623535,43.925907135009766,50.35731887817383,11.768519401550293,68.01009798049927,50,0.04716981132075472,67.0242305755615,505.87847900390625,True
56,15.607,184.189,979,36.70368194580078,41.42271423339844,46.46347427368164,9.75979232788086,61.10316276550293,13,0.013278855975485188,53.975528717041016,96.80865478515625,False
57,110.757,184.189,1256,36.82977294921875,41.36184501647949,46.127105712890625,9.297332763671875,60.07310485839844,8,0.006369426751592357,54.055317878723145,82.84210968017578,False
58,197.578,186.726,1258,38.88452625274658,44.597341537475586,52.05941295623779,13.174886703491211,71.82174301147461,112,0.0890302066772655,105.19065208435023,4267.8935546875,True
59,184.422,190.883,1253,38.704750061035156,44.06962203979492,50.088035583496094,11.383285522460938,67.1629638671875,56,0.0446927374301676,63.791712188720666,339.7984619140625,True
60,290.647,194.681,1256,37.89657688140869,42.798885345458984,48.092665672302246,10.196088790893555,63.38679885864258,28,0.022292993630573247,57.96316337585449,96.0916748046875,False
61,212.11,195.697,1255,38.48076248168945,44.07417678833008,50.48654747009277,12.00578498840332,68.49522495269775,73,0.05816733067729084,71.47373580932617,478.43988037109375,True
62,266.689,199.482,1258,38.26582145690918,43.52861404418945,49.491153717041016,11.225332260131836,66.32915210723877,55,0.04372019077901431,63.50938339233394,131.49510192871094,True
63,285.565,198.5,1260,38.42844295501709,43.524484634399414,49.064857482910156,10.636414527893066,65.01947927474976,47,0.0373015873015873,60.85092487335204,100.22892761230469,True
64,113.579,205.744,1253,36.52862548828125,41.4726676940918,46.67713165283203,10.148506164550781,61.8998908996582,18,0.014365522745411013,54.992124938964835,73.17420959472656,False
65,299.349,211.254,1020,39.977806091308594,46.85926628112793,56.8941535949707,16.91634750366211,82.26867485046387,96,0.09411764705882353,165.6560638427733,2722.49462890625,True
66,185.572,214.331,1259,38.41537094116211,43.67755889892578,50.84565544128418,12.43028450012207,69.49108219146729,114,0.09054805401111994,113.16498870849591,7715.96826171875,True
67,275.064,216.102,1254,37.980018615722656,43.36595153808594,49.15660285949707,11.176584243774414,65.92147922515869,61,0.04864433811802233,65.1907703399658,370.4881896972656,True
68,256.417,221.18,1256,36.572373390197754,42.2726936340332,47.20790767669678,10.635534286499023,63.16120910644531,22,0.01751592356687898,55.62933826446533,100.22892761230469,False
69,63.866,229.19,1259,36.70366668701172,41.35724639892578,46.27227592468262,9.568609237670898,60.625189781188965,7,0.005559968228752979,54.98284225463867,63.50089645385742,False
70,299.42,229.966,1017,37.77351379394531,42.712955474853516,48.449920654296875,10.676406860351562,64.46453094482422,28,0.02753195673549656,58.60053482055664,148.01568603515625,False
71,235.557,235.712,1258,36.69111442565918,41.16374397277832,46.31604290008545,9.62492847442627,60.75343561172485,16,0.012718600953895072,54.41532897949219,131.49510192871094,False
72,165.958,237.686,1256,37.00140190124512,41.62087631225586,46.58945941925049,9.588057518005371,60.971545696258545,4,0.0031847133757961785,53.14876461029053,64.91918182373047,False
73,206.395,237.609,1261,37.06956481933594,41.878456115722656,46.265533447265625,9.195968627929688,60.059486389160156,6,0.004758128469468675,53.311309814453125,61.99604034423828,False
74,15.073,239.113,960,38.41600036621094,43.967002868652344,51.12537860870361,12.709378242492676,70.18944597244263,103,0.10729166666666666,242.61892547607232,4050.38720703125,True
75,278.064,242.351,1258,38.70651149749756,44.115318298339844,50.663588523864746,11.957077026367188,68.59920406341553,84,0.06677265500794913,76.25946884155269,2722.49462890625,True
76,265.705,250.222,1256,37.49877166748047,42.177663803100586,47.03117370605469,9.532402038574219,61.329776763916016,16,0.012738853503184714,54.62625789642334,124.4326171875,False
77,272.539,257.62,1262,37.98294544219971,43.16066932678223,49.130353927612305,11.147408485412598,65.8514666557312,36,0.028526148969889066,60.33454303741456,148.01568603515625,False
78,278.8,258.525,1256,38.39039993286133,44.16236114501953,49.807406425476074,11.417006492614746,66.9329161643982,63,0.05015923566878981,66.35293197631836,253.1281280517578,True
79,21.45,259.919,1177,37.34615707397461,42.18690490722656,47.22454071044922,9.87838363647461,62.04211616516113,10,0.008496176720475786,54.638607025146484,69.48367309570312,False
80,143.515,260.471,1260,37.04915237426758,41.96502685546875,47.13680934906006,10.08765697479248,62.26829481124878,16,0.012698412698412698,55.02243671417236,120.25516510009766,False
81,310.503,261.47,731,38.77589797973633,44.16109848022461,49.70709419250488,10.931196212768555,66.10388851165771,33,0.04514363885088919,64.28864669799805,253.1281280517578,True
82,75.043,265.866,1256,36.88045883178711,41.76358413696289,47.09630298614502,10.21584415435791,62.420069217681885,9,0.007165605095541401,55.378600120544434,76.88333892822266,False
83,147.86,271.788,1259,37.6655216217041,42.765499114990234,48.4777946472168,10.812273025512695,64.69620418548584,53,0.04209690230341541,61.96124839782712,819.8624877929688,True
84,147.901,271.766,1261,37.65263748168945,42.73619079589844,48.4777946472168,10.825157165527344,64.71553039550781,53,0.04203013481363997,61.929290771484375,819.8624877929688,True
85,292.354,275.157,1230,38.54636764526367,43.99992370605469,49.4950065612793,10.948638916015625,65.91796493530273,46,0.03739837398373984,62.06542606353759,138.3095703125,True
86,198.512,279.481,1259,37.37150573730469,42.74156188964844,48.577117919921875,11.205612182617188,65.38553619384766,62,0.04924543288324067,64.29628143310536,374.14288330078125,True
87,198.512,279.496,1259,37.37150573730469,42.77020263671875,48.594966888427734,11.223461151123047,65.4301586151123,61,0.048451151707704525,64.29628143310536,374.14288330078125,True
88,277.576,286.628,1259,37.781829833984375,43.23375701904297,49.21088218688965,11.429052352905273,66.35446071624756,61,0.048451151707704525,65.8352081298828,253.1281280517578,True
89,30.47,286.08,1252,38.07249736785889,43.16066932678223,49.01226043701172,10.939763069152832,65.42190504074097,45,0.035942492012779555,61.357953262329104,1034.537109375,True
90,150.384,287.692,1257,37.54991912841797,42.301368713378906,47.74233627319336,10.19241714477539,63.030961990356445,15,0.011933174224343675,55.61497802734375,87.08865356445312,False
91,277.576,286.628,1259,37.781829833984375,43.23375701904297,49.21088218688965,11.429052352905273,66.35446071624756,61,0.048451151707704525,65.8352081298828,253.1281280517578,True
